OTU,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1,ARMS_SWC_Bjorko1_20200131_20200518_MF500_s1_r1,ARMS_SWC_Bjorko1_20200131_20200518_SF40_s1_r1,ARMS_SWC_Gbg1_20200206_20200520_MF100_s1_r1,ARMS_SWC_Gbg1_20200206_20200520_MF500_s1_r1,ARMS_SWC_Gbg1_20200206_20200520_SF40_s1_r1,ARMS_SWC_Gbg2_20200206_20200520_MF100_s1_r1,ARMS_SWC_Gbg2_20200206_20200520_MF500_s1_r1,ARMS_SWC_Gbg2_20200206_20200520_SF40_s1_r1,ARMS_SWC_Gbg3_20200206_20200529_MF100_s1_r1,ARMS_SWC_Gbg3_20200206_20200529_MF500_s1_r1,ARMS_SWC_Gbg3_20200206_20200529_SF40_s1_r1,ARMS_SWC_Gbg4_20200206_20200529_MF100_s1_r1,ARMS_SWC_Gbg4_20200206_20200529_MF500_s1_r1,ARMS_SWC_Gbg4_20200206_20200529_SF40_s1_r1,ARMS_SWC_Helsingborg1_20200305_20200604_MF100_s1_r1,ARMS_SWC_Helsingborg1_20200305_20200604_MF500_s1_r1,ARMS_SWC_Helsingborg1_20200305_20200604_SF40_s1_r1,ARMS_SWC_Helsingborg2_20200305_20200604_MF100_s1_r1,ARMS_SWC_Helsingborg2_20200305_20200604_MF500_s1_r1,ARMS_SWC_Helsingborg2_20200305_20200604_SF40_s1_r1,ARMS_SWC_Hjuvik1_20200131_20200518_MF100_s1_r1,ARMS_SWC_Hjuvik1_20200131_20200518_MF500_s1_r1,ARMS_SWC_Hjuvik1_20200131_20200518_SF40_s1_r1,ARMS_SWC_Marstrand1_20200228_20200527_MF100_s1_r1,ARMS_SWC_Marstrand1_20200228_20200527_SF40_s1_r1,ARMS_SWC_Marstrand2_20200228_20200527_MF100_s1_r1,ARMS_SWC_Marstrand2_20200228_20200527_MF500_s1_r1,ARMS_SWC_Marstrand2_20200228_20200527_SF40_s1_r1,ARMS_SWC_Marstrand3_20200228_20200527_MF100_s1_r1,ARMS_SWC_Marstrand3_20200228_20200527_MF500_s1_r1,ARMS_SWC_Marstrand3_20200228_20200527_SF40_s1_r1,ARMS_SWC_Varberg1_20200213_20200603_MF100_s1_r1,ARMS_SWC_Varberg1_20200213_20200603_MF500_s1_r1,ARMS_SWC_Varberg1_20200213_20200603_SF40_s1_r1,ARMS_SWC_Varberg2_20200213_20200603_MF100_s1_r1,ARMS_SWC_Varberg2_20200213_20200603_MF500_s1_r1,ARMS_SWC_Varberg2_20200213_20200603_SF40_s1_r1,ARMS_SWC_Varberg3_20200213_20200603_MF100_s1_r1,ARMS_SWC_Varberg3_20200213_20200603_MF500_s1_r1,ARMS_SWC_Varberg3_20200213_20200603_SF40_s1_r1,ARMS_SWC_Preemraff1_20200401_20200715_MF100_s1_r1,ARMS_SWC_Preemraff1_20200401_20200715_MF500_s1_r1,ARMS_SWC_Preemraff1_20200401_20200715_SF40_s1_r1,ARMS_SWC_Preemraff2_20200401_20200715_MF100_s1_r1,ARMS_SWC_Preemraff2_20200401_20200715_MF500_s1_r1,ARMS_SWC_Preemraff2_20200401_20200715_SF40_s1_r1,Classification,TAXON.NCBI_TAX_ID
ASV_21:af8eabcaace8470de9ae7ad3f47a0a19d09420af,272,0,14,2,10,2,0,0,1,0,40,0,384,0,12,0,1,0,0,0,0,156,0,35,48,0,31,0,0,4468,983,852,1,0,3,408,171,3,831,5,4,0,0,0,6,17,12,Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Canthocamptidae;Canthocamptus;Canthocamptus coreensis,Canthocamptus coreensis:1795125
ASV_22:5bf628ac4fba228a03d81385a0527c21a50fa83c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,5,6081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,Eukaryota;Cnidaria;Anthozoa;Actiniaria;Sagartiidae;Sagartiogeton;Sagartiogeton laceratus,Sagartiogeton laceratus:478420
ASV_23:93dd61d590b725e958561b07b9c56f05fb778704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3730,1419,160,0,0,0,0,0,21,Eukaryota;Mollusca;Gastropoda;Nudibranchia;Glaucidae;Facelina;Facelina bostoniensis,Facelina bostoniensis:219665
ASV_24:b2a7c7c19cbf23abb45d665657a904a82927b316,107,46,393,0,0,0,0,0,1,0,73,0,0,0,0,0,0,0,0,0,0,21,0,25,0,0,0,1,0,1908,365,1426,2,12,3,2,45,6,52,47,4,0,0,2,1,0,0,Eukaryota;Bacillariophyta;Coscinodiscophyceae;Melosirales;Melosiraceae;Melosira;Melosira ambiqua,Melosira ambiqua:70449
ASV_25:446a628435aecb942a04b98c422576b56662f40d,4,0,42,15,130,36,0,0,63,0,31,0,14,0,2,89,64,31,87,139,69,8,0,0,50,0,4,0,0,756,425,197,66,238,279,113,568,89,76,415,7,0,0,0,0,0,0,Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Pleurosigmataceae;Pleurosigma;Pleurosigma strigosum,Pleurosigma strigosum:1514139
ASV_26:9127fff76c07f779934d55a32101b86850d46e3a,0,0,0,0,0,0,0,0,0,0,3131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,22,66,9,5,207,1,0,1,0,0,1,4,37,153,Eukaryota;Annelida;Polychaeta;Capitellida;Capitellidae;Capitella;Capitella capitata,Capitella capitata:51294
ASV_27:b742e7f3fa50bb43ad72546cb25d1f7d80fea519,2095,5,361,9,25,2,0,0,0,0,13,0,3,0,0,29,6,1,2,113,1,83,0,27,3,0,0,13,0,7,26,0,72,270,180,1029,3024,747,41,19,0,0,0,4,15,24,86,Eukaryota;Arthropoda;Malacostraca;Amphipoda;Corophiidae;Monocorophium;Monocorophium insidiosum,Monocorophium insidiosum:1582901
ASV_28:add775140feb457d388737ef517344e66f165d74,1176,1,111,0,11,1,0,0,6,0,0,0,730,0,24,0,0,0,0,0,0,351,0,183,298,0,89,3,1,11,0,12,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Harpacticidae;Harpacticus;Harpacticus uniremis,Harpacticus uniremis:1795117
ASV_29:db9a7df9a7711a244707ab441ad39a9c8197e04a,0,0,10,55,48,1854,0,0,87,0,125,0,445,0,661,0,0,0,0,0,0,0,0,0,0,0,13,1,4,6,0,161,1,0,78,115,2622,1063,4,0,14,0,0,116,0,2,18,Eukaryota;Arthropoda;Insecta;Lepidoptera;Sphingidae;Platysphinx;Platysphinx stigmatica,Platysphinx stigmatica:1087690
ASV_30:f31c4f32381756aaa3550d88451d3866ea03981e,0,3,0,3,7,0,0,0,0,0,30,0,105,0,0,0,0,0,0,0,0,42,0,0,0,0,0,25,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,3194,65,1,20,Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Ameiridae;Proameira;Proameira psammophila,Proameira psammophila:2593145
