OTU,ARMS_BelgiumCoast_AJJC86_20200506_20201012_MF100_s1_r1,ARMS_TZS_Angbat_20200608_20201117_MF100_ETOH_s1_r1,ARMS_TZS_Angbat_20200608_20201117_MF500_ETOH_s1_r1,ARMS_TZS_Angbat_20200608_20201117_SF40_ETOH_s1_r1,ARMS_TZS_Kummelkobben_20200608_20201120_MF100_ETOH_s1_r1,ARMS_TZS_Kummelkobben_20200608_20201120_SF40_ETOH_s1_r1,ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1,ARMS_Getxo_G1_20200624_20201103_MF500_s1_r1,ARMS_Getxo_G1_20200624_20201103_SF40_s1_r1,ARMS_Getxo_G2_20200624_20201103_MF100_s1_r1,ARMS_Getxo_G2_20200624_20201103_SF40_s1_r1,ARMS_Getxo_G3_20200624_20201103_MF100_s1_r1,ARMS_Getxo_G3_20200624_20201103_SF40_s1_r1,Classification,TAXON:NCBI_TAX_ID
Otu54,0,0,0,0,226,0,0,0,0,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;unidentified (Herpotrichiellaceae);Herpotrichiellaceae_sp,Herpotrichiellaceae:43219
Otu349,0,0,0,0,0,0,10,0,0,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Sordariomycetes;Xylariales;Xylariales_fam_Incertae_sedis;Hansfordia;Hansfordia_pulvinata,Hansfordia pulvinata:767359
Otu347,0,0,0,0,0,0,11,0,0,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Basidiomycota;Cystobasidiomycetes;Cystobasidiomycetes_ord_Incertae_sedis;Cystobasidiomycetes_fam_Incertae_sedis;Symmetrospora;Symmetrospora_foliicola,Symmetrospora foliicola:5434
Otu513,0,0,0,0,0,0,5,0,0,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Basidiomycota;Cystobasidiomycetes;Cystobasidiomycetes_ord_Incertae_sedis;Cystobasidiomycetes_fam_Incertae_sedis;Buckleyzyma;Unknown Buckleyzyma species 1,Buckleyzyma:1798813
Otu738,0,0,0,0,0,0,3,0,6,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymosphaeriaceae;Paraconiothyrium,Paraconiothyrium:300251
Otu226,0,0,0,0,0,0,28,0,0,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Unknown Agaricales family 2,Agaricales:5338
Otu358,0,0,0,0,0,0,0,0,0,0,0,9,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Phaffomycetaceae;Barnettozyma;Barnettozyma_californica,Barnettozyma californica:36038
Otu429,0,0,0,0,0,0,0,0,0,0,0,7,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Sordariomycetes;Sordariales;Lasiosphaeriaceae;Unknown Lasiosphaeriaceae genus 1,Lasiosphaeriaceae:42302
Otu80,0,0,0,0,0,0,0,0,200,0,20,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Sordariomycetes;unidentified (Sordariomycetes) order incertae sedis;unidentified (Sordariomycetes) family incertae sedis;unidentified (unidentified (unidentified (Sordariomycetes)));Sordariomycetes_sp,Sordariomycetes:147550
Otu1062,0,0,0,0,0,0,1,0,0,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Sordariomycetes;Conioscyphales;Unknown Conioscyphales family 2,Conioscyphales:1809179
Otu729,0,0,0,0,0,0,0,0,1,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Unknown Ascomycota class 3,Ascomycota:4890
Otu431,0,0,0,0,0,0,8,0,0,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymosphaeriaceae;Paraphaeosphaeria;Unknown Paraphaeosphaeria species 1,Paraphaeosphaeria:125369
Otu448,0,0,0,0,0,0,11,0,0,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;Cladophialophora_arxii,Cladophialophora arxii:82108
Otu236,0,0,0,0,0,0,0,0,28,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Unknown Hypocreaceae genus 1,Hypocreaceae:5129
Otu235,0,0,0,0,0,0,0,30,0,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Clitocybe;Unknown Clitocybe species 1,Clitocybe:50966
Otu230,0,0,0,0,0,0,0,0,28,0,0,3,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Talaromyces;Talaromyces_euchlorocarpius,Talaromyces:5094
Otu4,0,0,0,0,0,0,0,1,4350,171,28,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Debaryomyces;Debaryomyces_hansenii,Debaryomyces hansenii:4959
Otu746,0,0,0,0,0,0,0,0,0,0,1,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Basidiomycota;Tremellomycetes;Trichosporonales;Trichosporonaceae;Apiotrichum,Apiotrichum:105983
Otu99,0,0,0,0,0,0,6,0,12,91,9,8,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Leotiomycetes;Unknown Leotiomycetes order 1,Leotiomycetes:147548
Otu95,0,0,0,0,0,0,20,0,30,117,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium;Penicillium_bialowiezense,Penicillium bialowiezense:293381
Otu93,0,0,0,0,108,0,0,0,0,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Sordariomycetes;Glomerellales;Plectosphaerellaceae;Plectosphaerella;Unknown Plectosphaerella species 1,Plectosphaerella:40657
Otu409,0,0,0,0,0,0,9,0,0,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Sordariomycetes;Unknown Sordariomycetes order 4,Sordariomycetes:147550
Otu403,7,0,0,0,0,0,0,0,0,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Sordariomycetes;Hypocreales;unidentified (Hypocreales) family incertae sedis;unidentified (unidentified (Hypocreales));Unknown unidentified (unidentified (Hypocreales)) species 1,Hypocreales:5125
Otu405,0,0,0,0,0,0,7,0,0,0,0,6,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Didymella,Didymella:55170
Otu392,0,0,0,0,0,0,0,0,11,0,0,2,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Penicillium,Penicillium:5073
Otu394,0,0,0,0,0,0,1,0,7,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Eurotiomycetes;Eurotiales,Eurotiales:5042
Otu397,0,0,0,0,0,0,0,0,0,0,0,7,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Leotiomycetes;Leotiomycetes_ord_Incertae_sedis;Pseudeurotiaceae;Pseudeurotium;Pseudeurotium_ovale,Pseudeurotium ovale:205927
Otu711,0,0,0,0,0,0,0,0,1,0,0,0,0,Cellular organisms;Eukaryota;Opisthokonta;Fungi;Ascomycota;Eurotiomycetes;Onygenales;unidentified (Onygenales) family incertae sedis;Unknown unidentified (Onygenales) family incertae sedis genus 1,Onygenales:33183
